scene,anger,disgust,fear,joy,sadness
119,0.109129,0.604737,0.10706,0.651466,0.433943
120,0.441488,0.072386,0.330034,0.054662,0.238604
121,0.163111,0.444323,0.090909,0.637585,0.12002
122,0.180409,0.106549,0.161524,0.462759,0.144861
123,0.151311,0.595321,0.244217,0.089595,0.204875
124,0.084633,0.091921,0.085536,0.628547,0.158471
125,0.564924,0.672939,0.684916,0.576261,0.681782
126,0.569261,0.086041,0.118001,0.627764,0.194512
127,0.13754,0.46342,0.083554,0.485533,0.548188
128,0.127227,0.119797,0.106004,0.632639,0.461551
129,0.100246,0.078684,0.117707,0.508204,0.596675
130,0.186757,0.417057,0.541933,0.471964,0.608878
131,0.507476,0.069363,0.110022,0.57983,0.653959
132,0.104654,0.080626,0.101774,0.591148,0.177392
133,0.248513,0.083041,0.074395,0.302536,0.340848
134,0.095983,0.064817,0.088839,0.564723,0.505214
135,0.094684,0.04697,0.62564,0.584148,0.429379
136,0.089786,0.047258,0.094697,0.62745,0.147309
