scene,anger,disgust,fear,joy,sadness
118,0.098919,0.428014,0.076616,0.495046,0.689955
119,0.094729,0.062235,0.081316,0.459723,0.445207
120,0.084868,0.076317,0.060263,0.154227,0.481818
121,0.085152,0.060705,0.149056,0.445869,0.238529
122,0.162636,0.126514,0.034661,0.293179,0.137829
123,0.216788,0.369917,0.093229,0.229624,0.165262
124,0.44367,0.104616,0.150845,0.087723,0.5675
125,0.124043,0.556938,0.105727,0.175636,0.451746
126,0.445564,0.050653,0.179527,0.132116,0.185066
127,0.0,0.0,0.0,0.0,0.0
128,0.617402,0.551604,0.459143,0.563252,0.117129
129,0.02725,0.672371,0.108344,0.05808,0.290449
130,0.080513,0.087312,0.103078,0.442678,0.463814
131,0.082634,0.057752,0.07782,0.554489,0.516207
132,0.113259,0.018889,0.24014,0.587146,0.125909
133,0.192441,0.106872,0.042401,0.057352,0.311698
134,0.163533,0.163068,0.115868,0.444926,0.16073
135,0.474055,0.048915,0.057688,0.614732,0.142408
136,0.077308,0.103684,0.067848,0.587316,0.519034
137,0.071407,0.094283,0.099274,0.120623,0.128638
138,0.129021,0.098226,0.099792,0.176858,0.15767
139,0.128375,0.065047,0.031681,0.115395,0.48417
140,0.102262,0.085906,0.088391,0.442209,0.508456
141,0.125031,0.078035,0.140668,0.220071,0.206092
142,0.160653,0.093223,0.067481,0.494929,0.157204
143,0.114128,0.043826,0.084753,0.473949,0.140336
144,0.123758,0.078932,0.126023,0.501927,0.553325
145,0.209914,0.040454,0.211329,0.515228,0.096846
146,0.100848,0.019512,0.024426,0.378674,0.06436
147,0.076839,0.011699,0.157573,0.65041,0.058917
148,0.122178,0.266069,0.065724,0.461644,0.176361
149,0.207944,0.01275,0.23008,0.297073,0.118611
150,0.100437,0.072698,0.679638,0.573966,0.125307
151,0.558224,0.11054,0.142151,0.181099,0.474725
152,0.137529,0.067669,0.431552,0.523158,0.625778
153,0.0,0.0,0.0,0.0,0.0
154,0.17318,0.157023,0.311234,0.261125,0.201479
155,0.0,0.0,0.0,0.0,0.0
156,0.076424,0.067863,0.080201,0.596512,0.070694
157,0.0,0.0,0.0,0.0,0.0
158,0.438128,0.120156,0.122318,0.125089,0.616106
159,0.259735,0.050512,0.231997,0.286144,0.15585
160,0.27962,0.112344,0.172742,0.474797,0.089756
161,0.109979,0.049025,0.113273,0.50751,0.274916
162,0.112723,0.231209,0.119198,0.067078,0.505954
163,0.096718,0.08408,0.109537,0.587544,0.589325
164,0.106497,0.118892,0.087361,0.501119,0.09702
165,0.164781,0.081391,0.021186,0.335598,0.214577
166,0.216367,0.110865,0.096438,0.288912,0.350317
167,0.276441,0.148781,0.096813,0.266853,0.178419
168,0.139654,0.076744,0.043074,0.14173,0.116734
169,0.098123,0.081015,0.0843,0.529183,0.200795
170,0.501335,0.130417,0.495797,0.131366,0.605249
171,0.376719,0.186692,0.0907,0.17573,0.428028
172,0.130563,0.408327,0.129846,0.539437,0.135586
173,0.117354,0.09188,0.102993,0.59823,0.58245
174,0.127841,0.087009,0.041705,0.188324,0.50166
