scene,anger,disgust,fear,joy,sadness
117,0.090692,0.121361,0.095137,0.578361,0.145903
118,0.109235,0.10885,0.529996,0.459686,0.164404
119,0.554987,0.100477,0.079713,0.431146,0.144314
120,0.113911,0.118459,0.092432,0.141241,0.180846
121,0.075908,0.083981,0.110925,0.173236,0.248389
122,0.532466,0.065109,0.083864,0.151036,0.439165
123,0.111455,0.081643,0.097795,0.120683,0.16267
124,0.227031,0.0451,0.071424,0.203624,0.231772
125,0.067235,0.06982,0.083285,0.454805,0.161385
126,0.093241,0.109115,0.128785,0.538823,0.590588
127,0.104086,0.08312,0.095339,0.573257,0.209475
128,0.064896,0.091361,0.093211,0.56653,0.143793
129,0.050583,0.041236,0.04653,0.468371,0.069579
130,0.688959,0.559527,0.690116,0.112095,0.075067
131,0.09223,0.057965,0.071063,0.65141,0.118054
132,0.069299,0.064365,0.090031,0.597175,0.18983
133,0.140487,0.129,0.111335,0.192198,0.158172
134,0.013103,0.014647,0.009463,0.765766,0.035997
135,0.081749,0.115544,0.064809,0.134965,0.107411
136,0.0,0.0,0.0,0.0,0.0
137,0.065034,0.069541,0.05796,0.75533,0.101069
138,0.130038,0.475961,0.09184,0.169154,0.216191
139,0.142665,0.114868,0.051402,0.115252,0.152743
140,0.164211,0.151014,0.069376,0.176977,0.222816
141,0.070496,0.089555,0.07128,0.6206,0.137385
142,0.118253,0.086873,0.076076,0.59028,0.126814
143,0.067084,0.011334,0.044389,0.789014,0.018483
144,0.06191,0.171036,0.075662,0.127022,0.703217
145,0.032783,0.084137,0.051355,0.562312,0.145002
146,0.136025,0.132029,0.435168,0.190271,0.117827
147,0.081788,0.05581,0.091857,0.4808,0.125925
148,0.156879,0.133372,0.133703,0.138583,0.19998
149,0.683909,0.052033,0.594809,0.122199,0.124318
150,0.118041,0.084269,0.139293,0.127082,0.156023
151,0.1542,0.146824,0.104417,0.196425,0.173496
152,0.095577,0.115885,0.102609,0.166105,0.197451
153,0.122672,0.137468,0.09668,0.500208,0.174106
154,0.103978,0.12843,0.098906,0.198853,0.184283
155,0.087545,0.476825,0.097078,0.421823,0.099933
156,0.110312,0.123094,0.107885,0.432853,0.234515
157,0.112442,0.138215,0.089637,0.517953,0.497113
158,0.141566,0.093521,0.090752,0.419806,0.506371
159,0.106638,0.134103,0.09764,0.606457,0.562427
160,0.07585,0.07925,0.05469,0.612055,0.560268
