scene,anger,disgust,fear,joy,sadness
119,0.542819,0.109456,0.204192,0.076483,0.158992
120,0.0983,0.47953,0.107491,0.075564,0.44331
121,0.508604,0.09879,0.156938,0.175734,0.534864
122,0.1098,0.023696,0.137207,0.254763,0.547371
123,0.568215,0.100606,0.555669,0.565284,0.655929
124,0.063769,0.031269,0.126133,0.461713,0.460681
125,0.133173,0.089479,0.101902,0.561259,0.172811
126,0.103112,0.083697,0.073937,0.624733,0.683052
127,0.10338,0.432429,0.079797,0.636269,0.548952
128,0.066064,0.083691,0.080692,0.734218,0.166262
129,0.339808,0.092991,0.176113,0.294087,0.305448
130,0.512169,0.118275,0.157655,0.130674,0.590398
131,0.176069,0.099726,0.172759,0.034582,0.653347
132,0.138447,0.079184,0.159421,0.438932,0.422321
133,0.173219,0.1303,0.167657,0.103636,0.534493
134,0.136519,0.083199,0.086983,0.679288,0.445832
135,0.132179,0.143477,0.193544,0.133879,0.14551
136,0.08156,0.56139,0.116386,0.556751,0.411957
137,0.119659,0.112004,0.626325,0.493271,0.626965
138,0.60558,0.092664,0.61688,0.563625,0.600917
