Charc,Movie
",Anushka Sharma,Dipannita Sharma,Deven Shah,Aditya Chopra,Jeffrey Archer,Priyanka Chopra",Ladies vs Ricky Bahl
",Mansoor Khan,Aamir Khan,Pooja Bedi,Deepak Tijori,Kulbhushan Kharbanda,Ayesha Jhulka,Majrooh Sultanpuri,Faisal Khan,Nasir Hussain",Jo Jeeta Wohi Sikandar
",Raghu Dixit",Mujhse Fraaandship Karoge
",Seema Biswas",Manjunath
",Rabindranath Tagore",Geetanjali
",Sanjay Dutt,Prachi Desai,Shabbir Ahmed,K.S. Ravikumar,Himesh Reshammiya",Policegiri
,Soldier
,Blackmail
",Raveena Tandon,Shakti Kapoor,Shammi Kapoor",Waah! Tera Kya Kehna
",Sunny Nijar",Pyaar Ka Punchnama 2
",Vikram Rathore,Akshay Kumar,Sanjay Leela Bhansali,Prabhu Deva,Gurdeep Kohli,Nassar",Rowdy Rathore
",Ashutosh Rana,Milind Soman,Aditya Pancholi,Nana Patekar,Shilpa Shetty,Akhilendra Mishra",Tarkieb
",Vijay Raaz,Gulzar sahib,Manu Rishi,Raj Zutshi",Kya Dilli Kya Lahore
",Jeetu,Shahid Kapoor,Kareena Kapoor,Paresh Rawal,Rajpal Yadav,Shakti Kapoor,Anupam Kher,Sunil Shetty,Neha Dhupia,Om Puri",Chup Chup Ke
",Vinod Khanna,Zeenat Aman,Shatrughan Sinha",Bombay 405 Miles
",Sanjeev Arora,Raj Zutshi,Sameer Dattani,Anuj Sawhney,Vikram Bhatt,Aftab Shivdasani,Dino Morea,Nauheed Cyrusi",Life Mein Kabhie Kabhiee
",Kangana Ranaut",Katti Batti
",Mani Ratnam,Wasim Khan,Arvind Swamy,Madhoo,Santosh Sivan",Roja
",Abhishek Bachchan,Rohit Shetty,Prachi Desai,Himesh Reshammiya,Manmohan Desai,Genelia D'Souza",Bol Bachchan
",Amrish Puri,Saif Ali Khan,Paresh Rawal,Akshay Kumar,Madhuri Dixit,Lawrence D'Souza,Anu Malik,Anand Bakshi",Aarzoo
",Hema Malini,Paresh Rawal,Saeed Jaffrey,Jeetendra,Sadashiv Amrapurkar",Jai Kaali
,Holi
",Padmini Kolhapure,Shriram Lagoo,Anant Nag,Vijay Tendulkar",Gehrayee
",Parveen Babi,Jeetendra,Ravi Tandon",Bond 303
",Aruna Irani,Bappi Lahiri,Sadashiv Amrapurkar",Do Ankhen Barah Hath
,Purani Haveli
",Vichitravirya",Bhishma
",Ashok Kumar,Asha Bhosle,Mithun Chakraborty,Rati Agnihotri,Utpal Dutt,Kishore Kumar,S. D. Burman,Basu Chatterjee,A.K. Hangal,Piyush Mishra,Suresh Wadkar,Annu Kapoor,Allu Ramalingaiah,Anupam Kher",Shaukeen
",Thakur Baldev Singh,Amitabh Bachchan,Anupama Chopra,Ramesh Sippy,Dharmendra,George Roy Hill,Amjad Khan,Comedian Jagdeep",Sholay 3D
",Major Ram Prasad Sharma,Shah Rukh Khan,Farah Khan,Amrita Rao,Zayed Khan,Sunil Shetty,Sushmita Sen,Anu Malik,Amisha Patel,Javed Akhtar,Sonu Nigam,Ajith Kumar,Naseeruddin Shah,Ayesha Takia,Abbas Tyrewala",Main Hoon Na
",Bhumika Chawla,Sameera Reddy,Arbaaz Khan,Mani Sharma,K. Vijaya Bhaskar,Shriya Sharma",Jai Chiranjeeva
",Anupam Kher,Divya Bharti,David Dhawan,Bappi Lahiri,Alok Nath,Gulshan Grover",Shola Aur Shabnam
",Mithun Chakraborty,Padmini Kolhapure,Sivaji Ganesan,Gemini Ganesan,Saritha,Vinod Mehra,A. Bhimsingh",Aisa Pyaar Kahan
",Sunil Shetty,Rajpal Yadav,Ram Gopal Verma,Udita Goswami,Shahrukh Khan,Neena Gupta",Mere Dost Picture Abhi Baki Hai
",Amitabh Bachchan,Raveena Tandon,Prabhu Deva,Jackie Shroff,Girish Karnad,Sonali Kulkarni,Milind Soman,Raghuvir Yadav",Agni Varsha
",Shakti Kapoor,Aruna Irani,Ashok Kumar,Deven Verma",Bhago Bhut Aaya
",Amit Sadh,Arshad Warsi,Ronit Roy,Amit Trivedi,Aditi Rao Hydari",Guddu Rangeela
",Sharman Joshi,Sahil Khan,N. Chandra",Xcuse Me
",Mithun Chakraborty,Varsha Usgaonkar,Prem Chopra",Ghar Jamai
",Karisma Kapoor,Vikram Bhatt,Divya Dutta,Arya Babbar,Himesh Reshammiya",Dangerous Ishq
",Shatrughan Sinha",Bhemaa
",Arjun Bijlani",Ishq Ishq Ishq
",Vinod Khanna,Sunil Shetty,Anu Malik,Arun Govil,Danny Denzongpa",Dhaal
",Zayed Khan,Sameera Reddy,Anil Kapoor,Boman Irani,Kangana Ranaut,Shabbir Ahmed,Mallika Sherawat",Tezz
",Sanjay Gupta,Irrfan Khan,Shabana Azmi,Atul Kulkarni,Jackie Shroff",Jazbaa
",John Mathai,Samvrutha Sunil,M. Jayachandran",Happy Husbands
,Mohre
",Tatineni Rama Rao,Jaya Prada,Jeetendra",Lok Parlok
",Vinod Khanna,Rekha",Anokhi Ada
",Anupama Chopra",Arjun: The Warrior Prince
",Kay Kay Menon,Soha Ali Khan,Paresh Rawal,Irrfan Khan,R. Madhavan,Nishikant Kamat,Ronnie Screwvala,Mohammed Rafi,Geeta Dutt",Mumbai Meri Jaan
",Shakti Kapoor,Raj Kapoor,Anil Kapoor,Sunny Deol,Rajendra Kumar",Ram-Avtar
",Shah Rukh Khan,Mir Ranjan Negi,Salman Khan,Kabir Khan,Shimit Amin",Chak De India
",Saif Ali Khan,Neelam Kothari,Salman Khan,Karisma Kapoor,Sonali Bendre,Alok Nath,Reema Lagoo",Saath Saath
",Anu Malik",Badhaai Ho Badhaai
",Ram Gopal Varma,Zakir Hussain",Shabri
",Divya Bharti,Kumar Sanu,Asha Bhosle,Suresh Oberoi,Alka Yagnik,Sadhana Sargam,Udit Narayan",Dil Ka Kya Kasoor
",Ashok,Ravi Chopra,Vinod Mehra,Vinod Khanna,Hema Malini,Neetu Singh,B. R. Chopra,Dharmendra,Danny Denzongpa,Parveen Babi,Osman Ali,Madan Puri,Keshto Mukherjee",The Burning Train
",Shyam Ramsay",Mahakaal
",Narayani Shastri,Om Puri,Paresh Rawal,Neena Gupta",Na Ghar Ke Na Ghaat Ke
",Om Puri,Jeetendra,Somy Ali",Chupp
",Shah Ardashir I,shah",Shatranj
",Sudhir Mishra,Shiney Ahuja,Kay Kay Menon,Anupama Chopra,Chitrangada Singh",Hazaaron Khwaishein Aisi
",Sheela,Rajesh Khanna,C.V. Sridhar,Shatrughan Sinha,Dina Pathak,Kamal Hassan,Smita Patil,Rajnikanth",Dil-E-Nadaan
",Shabana Azmi,Sanjeev Kumar,Shatrughan Sinha",Log Kya Kahenge
",Preity Zinta,Saif Ali Khan,Anupam Kher,Farida Jalal,Chandrachur Singh,Kundan Shah,Honey Irani,Rajesh Roshan,Majrooh Sultanpuri",Kya Kehna
",Tinu Anand",Aisa Yeh Jahaan
",Madhuri Dixit,Lata Mangeshkar,Salman Khan,Ustad Nusrat Fateh Ali Khan,Tarachand Barjatya",Hum Aapke Hain Koun..!
",Danielle Steel,Rishi Kapoor,Shammi Kapoor,Poonam Dhillon,R.D. Burman",Yeh Vaada Raha
",Shakti Samanta,Ashok Kumar,Uttam Kumar,Sharmila Tagore,Shyamal Mitra",Anand Ashram
",Deepika Padukone,Imtiaz Ali,Karisma Kapoor,Ranbir Kapoor,A. R. Rahman,Piyush Mishra,Sajid Nadiadwala,Dev Anand",Tamasha
",Arjun Mathur",Coffee Bloom
,Mahashakti
",Muhammad",Hatim Tai
",Kay Kay Menon,Arjun Mathur,Vikram Bhatt,Tisca Chopra",Ankur Arora Murder Case
",Shakti Kapoor,Mithun Chakraborty,Dharmendra",Pyar Ka Karz
",Neetu Singh,Vijay Arora,Nasir Hussain,Zeenat Aman,Salim Khan,Aamir Khan,Ajit Khan,Majrooh Sultanpuri,Asha Bhosle,Javed Akhtar,Mohammed Rafi",Yaadon Ki Baaraat
",Kamal Haasan,Zeenat Aman,Utpal Dutt",Yeh Desh
",Ashok Saraf,Sylvester Stallone,Mithun Chakraborty,Ashim Samanta",Don Muthu Swami
",Shah Rukh Khan,Karan Johar,Kajol,Rahul Khanna,Rani Mukerji,Aditya Chopra,Farah Khan,Twinkle Khanna,Manish Malhotra,Saif Ali Khan,Santosh Thundiyil",Kuch Kuch Hota Hai
",Saif Ali Khan,Shilpa Shetty,Vivek Oberoi,Sameera Reddy,Ram Gopal Varma,Nana Patekar,Aftab Shivdasani,Sohail Khan,Boman Irani,Raghubir Yadav,Sanjay Kapoor,Rajpal Yadav,Sushant Singh",Darna Mana Hai
",Shah Rukh Khan,Deepika Padukone,Rohit Shetty",Chennai Express
,Sankalp
",Kalki Koechlin,Roger Ebert,Onir",That Girl in Yellow Boots
",Sunil Shetty,Kirron Kher",Ehsaas: The Feeling
",Priya Tendulkar,Om Puri,Sadashiv Amrapurkar,Reema Lagoo",Nasoor
",Satish Kaushik,Karisma Kapoor,Kader Khan,David Dhawan,Vinod Rathod,Kumar Sanu,Alka Yagnik,Kunal Ganjawala,Udit Narayan",Saajan Chale Sasural
",Namrata Shirodkar,Reema Lagoo,Sonali Bendre,Prem Chopra",Tera Mera Saath Rahen
",Sriram Raghavan,James Hadley Chase,Neil Nitin Mukesh,Sriram,Dharmendra,Stanley Kubrick,Vinay Pathak,Zakir Hussain,Rimi Sen,Dev Anand",Johnny Gaddar
",Akshay Kumar,Jaya,Sukhwinder Singh,Anupam Kher,Sonu Nigam,Sunidhi Chauhan",Katha
",Amrita Rao,Sooraj R. Barjatya,Shahid Kapoor,Amrita Prakash,Ravindra Jain,Anupama Chopra,Alok Nath,Seema Biswas",Vivah
",Ranbir Kapoor,Anushka Sharma,Karan Johar,Kay Kay Menon",Bombay Velvet
",Adam Smith,Queen Elizabeth I",Corporate
",Dibakar Banerjee",Faraar
,Jumbo
,Bengal Tiger
",Julius Civilis,Trajan,Tacitus",Victory
",Ekta Kapoor,Shah Rukh Khan,Shobha Kapoor,Arjun Bijlani",Pardes
",Asha Parekh,Sunil Dutt,Rakesh Roshan,Reena Roy,Iftekhar,Tahir Hussain,Bappi Lahiri",Zakhmee
",Kabir,Sanjay Dutt,Mallika Sherawat,Aashish Chaudhary,Arshad Warsi,Indra Kumar,Javed Jaffrey,Kangana Ranaut,Anand Raj Anand,Vidya Balan",Double Dhamaal
",Asha Parekh,Nutan,Raj Khosla,Lata Mangeshkar,Reena Roy,Deb Mukherjee,Vinod Khanna",Main Tulsi Tere Aangan Ki
",Anu Malik,Vikram Bhatt,Pooja Bhatt,U.S.-based Shekhar Gupta,Rahul Roy,Raj Kapoor",Jaanam
",Salman Khan,Anil Kapoor,Zayed Khan,Subhash Ghai,Katrina Kaif,Boman Irani,A.R Rahman,Gulzar,Nikhil Kumar,Mithun Chakraborty",Yuvvraaj
",Shashi Kapoor,Father Joseph,Anita Guha,Subodh Mukherjee,Iftekhar,Kishore Kumar,Asha Bhosle,S. D. Burman,Lata Mangeshkar",Sharmeelee
",Ravi Kapoor,Hema Malini,Rekha,Sushma Seth,Kader Khan",Apne Apne
",Veerappan,Gubbi Veeranna,Sri Krishnadevaraya",Rajkumar
",Sharat Saxena,Shakti Kapoor,Rati Agnihotri,Mithun Chakraborty,Bappi Lahiri,Ravikant Nagaich",Sahhas
",Neha Oberoi,Sikandar Kher,Arbaaz Khan,Sanjay Gupta,Gulshan Grover,Malaika Arora Khan,Saif Ali Khan,Sanjay Dutt,Shakti Kapoor,Ekta Kapoor,Anu Malik,Anil Kapoor,Anupama Verma,Boman Irani",Woodstock Villa
",Usha Khanna,Rakesh Roshan,Raza Murad,Zeenat Aman,Rajinikanth,Joginder",Daku Hasina
",Rakesh Roshan,Rajesh Roshan,Juhi Chawla,Hrithik Roshan,Irrfan Khan,Shahrukh Khan,Arshad Warsi,Rajpal Yadav,Rajat Kapoor,Dia Mirza,Hrishikesh Mukherjee,Jawaharlal Nehru",Krazzy 4
",Vivek Oberoi,Sameera Reddy,Sunny Deol,Amrita Rao,Aamir Khan,Suhasini Mulay,Jackie Shroff",Naksha
",Amjad Khan,Kader Khan,Parveen Babi,Amitabh Bachchan,Asha Parekh,R.D. Burman,Tinnu Anand,K.N. Singh,Tiger Prabhakar",Kaalia
,Dil Pardesi Ho Gayaa
,Yeh Hai Bakrapur
",Monali Thakur,Will Smith,Kumar Sanu,Anu Malik",Dum Laga Ke Haisha
",Vipul Shah",Commando-A One Man Army
",Bappi Lahiri,Rakesh Roshan",Aangan Ki Kali
",Imtiaz Ali,Ekta Kapoor,Shobha Kapoor,Niladri Kumar",Laila Majnu
",Sanjay Dutt,Salman Khan,Madhuri Dixit,Pankaj Udhas,Lawrence D'Souza,Alka Yagnik,Anuradha Paudwal,Kumar Sanu",Saajan
",Michael Burnett,Vivek Oberoi,Boman Irani,Ayesha Takia,Mahima Chaudhary,Karan Johar,Abhishek Bachchan,Sujoy Ghosh,Saurabh Shukla",Home Delivery
",Rajesh Khanna,Kader Khan",Fiffty Fiffty
",Arjun Singh,Sunil Shetty,Divya Bharti,Danny Denzongpa,Deepak Anand,Tinnu Anand",Balwaan
",Sitara Hewitt",Sitara
",Pandit Jawaharlal Nehru,Kailas Nath Kaul",Kamla
",Atul Agnihotri,Mamta Kulkarni,Paresh Rawal,Dimple Kapadia,Nana Patekar,Danny Denzongpa,Mehul Kumar,Farida Jalal,Mohan Babu,Tinnu Anand",Krantiveer
",Mithun Chakraborty,Paresh Rawal,Kader Khan,Kiran Kumar,Shilpa Shirodkar,Kanti Shah",Rangbaaz
",Dilip Kumar,Jeetendra,Rohini Hattangadi,Vinod Khanna,Dharmendra",Dharm Adhikari
",Pooja Bhatt,Rahul Roy,Pooja Bedi,Mahesh Bhatt,Anu Malik,Kumar Sanu,Sadhana Sargam,Pankaj Udhas,Alka Yagnik,Qateel Shifai,Kaifi Azmi",Phir Teri Kahani Yaad Aayee
",Sanjay Gadhvi,Uday Chopra,Yash Chopra,Tulip Joshi,Aditya Chopra,Bipasha Basu,Riya,Asha Bhosle,Amisha Patel",Mere Yaar Ki Shaadi Hai
",Aparna Sen,Jennifer Kendal,Shashi Kapoor,Dhritiman Chatterjee,Debashree Roy,Geoffrey Kendal,Satyajit Ray,Bansi Chandragupta,Utpal Dutt,Soni Razdan",36 Chowringhee Lane
",Rishi Kapoor,Soha Ali Khan,Dimple Kapadia,Emma Bunton,Sammir Dattani",Pyaar Mein Twist
",Dasari Narayana Rao,Vinod Mehra,Waheeda Rehman,Jeetendra,Moushumi Chatterjee,Krishnam Raju,Sarika",Jyoti Bane Jwala
",Arshad Warsi,Amrita Rao,Saurabh Shukla,Boman Irani,Anupama Chopra,Bappi Lahiri",Jolly LLB
",Rekha,Hrishikesh Mukherjee,Dina Pathak,Rakesh Roshan,Ashok Kumar,David",Khubsoorat
",Preity Zinta,Priyanka Chopra,Sunny Deol,Anand Bakshi,Kabir Bedi",The Hero: Love Story of a Spy
",Vidya Sinha,Uttam Kumar,Dina Pathak,Keshto Mukherjee,Shreeram Lagoo",Kitaab
",Bharat Bhushan,Vinay Pathak,Kay Kay Menon,Minissha Lamba,Sneha Khanwalkar,Aditi Govitrikar",Bheja Fry 2
",Arun Govil,Satyen Bose,Om Shivpuri",Saanch Ko Aanch Nahin
",Hrishikesh Mukherjee,Amol Palekar,R.D. Burman,Swaroop Sampat,Dina Pathak,A.K. Hangal,Utpal Dutt,Shatrughan Sinha",Naram Garam
",Manoj Bajpai,Saurabh Shukla,Aditya Srivastava,Piyush Mishra,Abbas Tyrewala",Dil Pe Mat Le Yaar
",Rahul Bose,Anant Balani,Vineet Kumar",Ek Din 24 Ghante
",Vidhu Vinod Chopra,Saif Ali Khan,Amitabh Bachchan,Boman Irani,Sharmila Tagore,Sanjay Dutt,Vidya Balan,Jackie Shroff,Raima Sen,Shantanu Moitra",Eklavya: The Royal Guard
",Vinod Khanna",Khoon Ki Pukaar
",A. R. Rahman,Imtiaz Ali,Saif Ali Khan,Kareena Kapoor,Karan Johar",Lekar Hum Deewana Dil
",Rekha,Balraj Sahni,Priya Rajvansh,Kaifi Azmi",Hanste Zakhm
,Commando
",Saif Ali Khan,Aamir Khan,Shahrukh Khan,Deepak Tijori,Rahul Roy,Ashutosh Gowariker,Brian de Palma,Paresh Rawal,Pooja Bhatt,Raveena Tandon,Juhi Chawla",Nasha
",Naseeruddin Shah",Charlie Kay Chakkar Mein
",Himesh Reshammiya,Urmila Matondkar,Satish Kaushik,Dino Morea,Gulshan Grover",Karzzzz
",Jaya Bhaduri",Piya Ka Ghar
,Beta
",Jack Weatherford,Genghis Khan,Jacob,Henry James",Hip Hip Hurray
",Shashi Kapoor",Rootha Na Karo
",Hrithik Roshan,Rakesh Roshan,Preity Zinta,Rekha,Rajesh Roshan",Koi... Mil Gaya
",Tribhovandas Patel,Vijay Tendulkar,Shyam Benegal,Girish Karnad,Vanraj Bhatia,Kulbhushan Kharbanda,Mohan Agashe",Manthan
",Rishi Kapoor,Juhi Chawla,Jeetendra,Paresh Rawal,Kader Khan",Rishta To Ho Aisa
",Shah Rukh Khan,Amitabh Bachchan,Anand Bakshi,Aditya Chopra,Jugal Hansraj,Rakesh Roshan,Yash Chopra",Mohabbatein
",Aditya Pancholi,Pooja Bhatt,Raghuvir Yadav,Kiran Kumar",Chor Aur Chaand
",Sanjeev Kumar,Ashok Kumar,Rajesh Khanna,Jagdish Kumar,Rakesh Roshan,Rekha,Farida Jalal,J. Om Prakash,Mumtaz Shanti,Keshto Mukherjee",Aakraman
",Akshay Kumar,Kumar Sanu,Anupam Kher,Ronit Roy",Sainik
",J. Om Prakash,Reena Roy,Meenakshi Sheshadri",Aadmi Khilona Hai
,Deedar
",Arjun Rampal,Paresh Rawal,Priyanshu Chatterjee",Dil Ka Rishta
",Raj Babbar,Bappi Lahiri,Anant Nag,Tiger Prabhakar,Sathyaraj",Kanwarlal
",Raj Kumar,Raj Kapoor,Lalita Pawar,Nutan,Hasrat Jaipuri,Hrishikesh Mukherjee",Anari
",Manas Mukherjee,Farida Jalal,Simi Garewal,Naseeruddin Shah,Vijayendra Ghatge,Mohd Rafi,Nitin Mukesh,Iftekhar",Shaayad
,Shanakht
",Rajesh Khanna,Sharmila Tagore,Nirupa Roy",Chhoti Bahu
",Raj Babbar,Suresh Oberoi,Sharat Saxena,Dimple Kapadia,Bappi Lahiri,Danny Denzongpa,Alfred Hitchcock,Mukul Anand,Asha Bhosle,Mark Halliday",Aitbaar
",Shekhar Suman,Simple Kapadia,Jyoti Sarup,Bharat Bhushan",Rehguzar
",Sheela,Anil Kapoor,Boman Irani,Suchitra Krishnamurti,Nandana Sen,Ram Gopal Varma",My Wife's Murder
",Louis C.K.,Pope Hilarius,Arthur Schopenhauer,Georg Lichtenberg,Aristotle,E.B. White,Socrates,Mao Zedong,Confucius,Rowan Atkinson",Fugly
",Dev Anand,Suraiya,Kalpana Kartik,Waheeda Rehman,Anand Bakshi,Guru Dutt,Sachin Dev Burman,Dilip Kumar,Ashok Kumar,Kishore Kumar,Zeenat Aman,Raj Kapoor",Anand Aur Anand
",Anand Raj Anand,Sher Khan,Sanjay Dutt,Priyanka Chopra,Puneet Prakash Mehra,Apoorva Lakhia,Salim Khan,Atul Kulkarni,Anupama Chopra",Zanjeer
",Dasari Narayana Rao,Jeetendra,Deepak Tijori,Moushumi Chatterjee,D. Ramanaidu",Santaan
",Aamir Khan,Kabir Khan,Farah Khan,Nasir Hussain,Kiran Rao",Aamir
",Prem Nath,A. Bhimsingh",Yaaron Ka Yaar
",Guru Dutt,Geeta Dutt,S.D. Burman,Waheeda Rehman,Abrar Alvi,Mala Sinha,Johnny Walker,Sahir Ludhianvi,Rehman,Hemant Kumar,Amrita Pritam,Mohammed Rafi",Pyaasa
",Amitabh Bachchan,Rajkumar Santoshi,Akshay Kumar,Tusshar Kapoor,Lara Dutta",Khakee
",Amitabh Bachchan,Rajinikanth",John Jani Janardhan
",Sardar Khan,Rajesh Khanna,Rishi Kapoor,Akshaye Khanna,Sachin Bhowmick,Alok Nath,Moushumi Chatterjee,Kader Khan,Suman Ranganathan",Aa Ab Laut Chalen
,Taraazu
,Aangan
",Kapil,Dr Zeus,Manjari Fadnis,Sharat Saxena,Manoj Joshi,Supriya Pathak",Kis Kisko Pyaar Karoon
,NH-8 Road to Nidhivan
,Chorni
",Tapan Sinha,Dr. Subhash Mukhopadhyay,Shabana Azmi,Irfan Khan,Anil Chatterjee",Ek Doctor Ki Maut
",J. Om Prakash",Aashiq Hoon Baharon Ka
",Salman Khan,Sanjay Leela Bhansali,Vikram Gokhale,Ismail Darbar",Hum Dil De Chuke Sanam
",Rudyard Kipling,Chinua Achebe,Upton Sinclair,Johnny Weissmuller",Jungle
",Hema Malini,Raaj Kumar,Kishore Kumar,Vinod Mehra,Asit Sen,Asha Bhosle,Manna Dey,Hasrat Jaipuri",Lal Patthar
",Akshay Kumar,Raveena Tandon,Rekha,Anu Malik,Laura Branigan,Brian Lee,Gulshan Grover",Khiladiyon Ka Khiladi
",Shashi Kapoor,Rajendra Nath,Ajit Khan",Patanga
",Padmini Kolhapure",Karmayogi
",Jeetendra,Jaya Prada,Shakti Kapoor,Sridevi,Bappi Lahiri,Kader Khan,Shreeram Lagoo,Rajnikanth",Mawaali
",Paresh Rawal,Sharbani Mukherjee,Nana Patekar,Mahendra Singh",Aanch
",Anand Raj Anand,Sadashiv Amrapurkar,Danny Denzongpa,Johnny Lever,Gulshan Grover,Parikshit Sahni",Yeh Mohabbat Hai
",Sunny Leone,Meera,Bhushan Kumar,Rahul Dev",Ek Paheli Leela
",Saif Ali Khan,Shafqat Amanat Ali,Mithoon",Yaariyan
",Amrish Puri,Sridevi,Allu Ramalingaiah,Chiranjeevi,Tiger Prabhakar",Aadmi Aur Apsara
",Basu Chatterjee",Gudgudee
",Sunil Shetty,Namrata Shirodkar,Anu Malik,Suman Ranganathan,Sushmita Sen,Alok Nath,Sharad Kapoor,Sharat Saxena,Gulshan Grover",Aaghaaz
",Raveena Tandon,Nandamuri Balakrishna,Ramya Krishna,Rao Gopal Rao,Rama",Ek Anari Do Khiladi
",Dara Singh,Raj Kapoor",Mera Desh Mera Dharam
",Amisha Patel,Bobby Deol,Akshaye Khanna,Himesh Reshammiya",Humraaz
",Divya Dutta,Juhi Chawla,Gurdas Maan,Mukesh Rishi,Sushant Singh",Waris Shah: Ishq Daa Waaris
",Coco Chanel",Black
",Rajendra Kumar,Asha Parekh",Insaaf Ka Khoon
",Vidya Balan,Tusshar Kapoor,Emraan Hashmi,Naseeruddin Shah,Selva Ganesh,Shobha Kapoor",The Dirty Picture
",Katrina Kaif,Imran Khan,Ali Zafar,Preity Zinta,Parikshat Sahni,Aditya Chopra",Dulhan
",Aparna Sen,Hrishikesh Mukherjee,Subhash Ghai,George Fernandes,Raza Murad,Amitabh Bachchan,Ravindra Jain",Kotwal Saab
",Juhi Chawla,Sushma Seth,Alok Nath,Rishi Kapoor,David Dhawan,Shakti Kapoor,Kiran Kumar",Bol Radha Bol
",Rishi Kapoor,Kajol,Anil Devgan,Manisha Koirala,Johnny Lever",Raju Chacha
",Shah Rukh Khan,Saif Ali Khan,Karan Johar,Preity Zinta,Sukanya Verma,Salman Khan,Anil Mehta,Niranjan Iyengar",Kal Ho Naa Ho
",Hrishikesh Mukherjee,Amol Palekar,Bindiya Goswami,Mukherjee,Sachin Bhowmick,David Dhawan,David,Deven Verma,Utpal Dutt,Om Prakash,Rekha,Rohit Shetty",Gol Maal
",Vivek Oberoi,Sanjay Khanduri,Malika Sherawat",Kismet Love Paisa Dilli
",Prashant Pandey",Sadda Adda
",Margaret Bourke-White",Train to Pakistan
",Leena Chandavarkar,R. Krishnan",Main Sunder Hoon
",Amitabh Bachchan,Dharmendra,Zeenat Aman,Amjad Khan,Prem Chopra,Rekha",Ram Balram
",Gulzar,Shatrughan Sinha,Meena Kumari,Salil Choudhury,Vinod Khanna,Keshto Mukherjee,Deven Verma,Asit Sen,Hrishikesh Mukherjee,Danny Denzongpa,Bimal Roy,Asrani,A. K. Hangal",Mere Apne
",Arya Babbar,Ashok Saraf,Shriya Saran,Shoma Anand",Thoda Tum Badlo Thoda Hum
",Smita Patil,Farooq Shaikh,Shreeram Lagoo",Mere Saath Chal
",Dimple Kapadia,Mithun Chakraborty,Babbar Subhash,Danny Denzongpa",Pyar Ke Naam Qurbaan
",Tusshar Kapoor,Ekta Kapoor,Raima Sen,Sachin Yardi,Anupam Kher,Shobha Kapoor,Rajpal Yadav",C Kkompany
",Rishi Kapoor,Ravi Tandon,Aruna Irani,Rakesh Roshan,Kishore Kumar",Khel Khel Mein
",Durga Devi,Prem Chopra,Aruna Irani,Ashok Saraf,Laxmikant Berde,Ram,Johnny Lever",Beti No.1
",Sulakshana Pandit,Waheeda Rehman,Raaj Kumar,Rajesh Khanna,Reena Roy",Dharam Kanta
",Kunal,Akshaye Khanna,Anupam Kher,Priyanka Chopra,Dino Morea,Ameesha Patel,Suniel Shetty,Anupama Chopra,Himesh Reshammiya,Dharmesh Darshan,Lilette Dubey",Aap Ki Khatir
",Mohammad Aziz,Suresh Wadkar,Anuradha Paudwal,Udit Narayan,Pankaj Udhas",Lal dupatta malmal ka
",Arshad Warsi,Dia Mirza,Javed Akhtar,Kabeer Kaushik,Javed Sheikh,Boman Irani",Hum Tum Aur Ghost
",Caesar,Emperor Diocletian,Emperor Heraclius,Emperor Maximilian I,Emperor Tenmu,Emperor Nicholas II,Emperor Pedro II,Emperor Jimmu,Francis II",Samraat
",Dev Anand,Anupam Kher,Richa Sharma,Shriram Lagoo",Hum Naujawan
",Akshay Kapoor,Yash Tonk,Anupama Chopra,Deepak Tijori,Mukherjee",Popcorn Khao! Mast Ho Jao
",Sushmita Sen,Sushant Singh,Morgan Freeman,Brad Pitt,Jackie Shroff",Samay: When Time Strikes
",Mahesh Manjrekar,Amitabh Bachchan,Sharmila Tagore,Sanjay Dutt,John Abraham",Viruddh... Family Comes First
",Álvaro Obregón",1920
",Vivek Oberoi,Kajal Aggarwal,Javed Akhtar,Amitabh Bachchan,Suniel Shetty",Kyun...! Ho Gaya Na
",Mohan Lal Srivatsav,Utpal Dutt,Jeetendra,Rekha,Shabana Azmi,Akkineni Nageswara Rao,Parikshit Sahni,Shreeram Lagoo",Raaste Pyar Ke
",Kader Khan,Bhumika Chawla,Amitabh Bachchan,Akshay Kumar,Rajkumar Santoshi,Sushant Singh",Family  Ties of Blood
",Durga Singh,Arjun Singh,Shah Rukh Khan,Salman Khan,Kajol,Mamta Kulkarni,Rakesh Roshan,Ajay Devgan,Aashif Sheikh,Rajesh Roshan,Amrish Puri,Hrithik Roshan,Sachin Bhowmick,Ravi Kapoor",Karan Arjun
",Jaya Bhaduri,Balraj Sahni,Randhir Kapoor,Nirupa Roy,Anand Bakshi,Kader Khan,Narender Bedi",Jawani Diwani
",Jeetendra",Aag Aur Shola
",Inspector Kabir Nayak,Sanjay Dutt,Indra Kumar,Arshad Warsi,Adnan Sami,Javed Jaffrey,Asrani,Aashish Chaudhary,Vijay Raaz",Dhamaal
",Soundarya,Deepika Padukone,A. R. Rahman,K. S. Ravikumar,Rajnikanth,R. Sarathkumar",Kochadaiiyaan
",Akshay Kumar,Katrina Kaif,Rishi Kapoor,Javed Sheikh,Clive Standen,Upen Patel,Vipul Amrutlal Shah,Priyanka Chopra,Himesh Reshammiya",Namastey London
",Jackie Shroff,Anuradha Paudwal",Doodh Ka Karz
",Satish Shah,Sadashiv Amrapurkar,Pradeep Kumar",Purana Mandir
",Paresh Rawal,Arshad Warsi,Akash Chopra,Riya Sen,Shakti Kapoor,Tinnu Anand",Rabba Main Kya Karoon
