,Movie Name
3936,Surakshaa
3945,Aakrosh
3953,Aap Ke Deewane
3961,Aasha
3987,Abdullah
3999,Beqasoor
4001,Bombay 405 Miles
4008,Chakra
4025,Chambal Ki Kasam
4038,Do Aur Do Paanch
4049,Dostana
4059,Ek Baar Kaho
4068,Gehrayee
4091,Judaai
4103,Jyoti Bane Jwala
4112,Kali Ghata
4134,Karz
4164,Khubsoorat
4183,Khwab
4185,Lootmaar
4190,Mahashakti
4195,Man Pasand
4214,Neeyat
4237,Nishana
4246,Patita
4247,Qurbani
4282,Ram Balram
4306,Red Rose
4321,Saboot
4342,Shaan
4379,Sitara
4389,Takkar
4394,Taxi Chor
4395,The Burning Train
4483,The Naxalites
4484,Thodisi Bewafaii
4534,Unees-Bees
4535,36 Chowringhee Lane
4554,Chashme Buddoor
4573,Dhuaan
4584,Do Dil Diwane
4592,Ek Duuje Ke Liye
4610,Ek Hi Bhool
4622,Fiffty Fiffty
4630,Ghamandee
4631,Ghungroo Ki Awaaz
4639,Hum Se Badkar Kaun
4650,Jeene Ki Arzoo
4651,Jyoti
4660,Kaalia
4683,Kahani Ek Chor Ki
4696,Kalyug
4708,Khoon Aur Paani
4715,Khoon Ka Rishta
4722,Kudrat
4758,Laparwah
4759,Love Story
4770,Mahabali Hanuman
4771,Main Aur Mera Haathi
4772,Meri Aawaz Suno
4780,Nakhuda
4787,Naram Garam
4810,Prem Geet
4812,Pyaasa Sawan
4822,Roohi
4828,Rocky
4838,Sadgati
4839,Sahhas
4840,Sameera
4841,Sannata
4848,Shaukeen
4852,Silsila
4875,Umrao Jaan
4886,Ustadi Ustad Se
4887,Waqt Ki Deewar
4898,Yaraana
4918,Zamaane Ko Dikhana Hai
4928,Aamne Samne
4933,Afsana Do Dilon Ka
4939,Anokha Bandhan
4945,Aparoopa
4952,Apna Bana Lo
4963,Badle Ki Aag
4978,Bemisal
4995,Bezubaan
5005,Bheegi Palkein
5048,Chorni
5076,Dard Ka Rishta
5093,Deedar-E-Yaar
5113,Dharam Kanta
5123,Dil Hi Dil Mein
5179,Dil-E-Nadaan
5204,Disco Dancer
5209,Farz Aur Kanoon
5233,Haathkadi
5261,Hamari Bahu Alka
5269,Insaan
5282,Jeeo Aur Jeene Do
5308,Jeevan Dhaara
5319,Khud-daar
5335,Lakshmi
5350,Log Kya Kahenge
5355,Main Intequam Loonga
5369,Mehndi Rang Layegi
5376,Nadiya Ke Paar
5396,Namak Halaal
5414,Namkeen
5432,Prem Rog
5441,Raaste Pyar Ke
5452,Rajput
5507,Saath Saath
5518,Samraat
5529,Sanam Teri Kasam
5534,Satte Pe Satta
5544,Sawaal
5549,Shakti
5624,Shriman Shrimati
5628,Sitam
5632,Star
5640,Sun Sajna
5689,Swami Dada
5693,Taqdeer Ka Badshah
5694,Teesri Aankh
5715,Umbartha
5734,Vijeta
5745,Yeh Nazdeekiyan
5753,Yeh To Kamaal Ho Gaya
5762,Yeh Vaada Raha
5824,Aao Pyaar Karen
5836,Andha Kanoon
5846,Ardh Satya
5893,Arpan
5916,Avtaar
5961,Bade Dil Wala
5973,Bandhan Kuchchey Dhaagon Ka
5978,Chatpati
5979,Chor Police
5983,Ek Baar Chale Aao
5992,Fareb
6000,Gehri Chot: Urf - Door-Desh
6020,Hero
6036,Himmatwala
6049,Hum Se Hai Zamana
6057,Jaani Dost
6082,Jaanwar
6123,Jeet Hamaari
6129,Justice Chaudhury
6146,Katha
6162,Lovers
6164,Masoom
6175,Mawaali
6185,Mazdoor
6191,Mujhe Insaaf Chahiye
6201,Nastik
6215,Naukar Biwi Ka
6231,Pasand Apni Apni
6236,Prem Tapasya
6253,Romance
6262,Sadma
6276,Souten
6282,Taqdeer
6283,Woh Jo Hasina
6284,Zara Si Zindagi
6321,Aakhri Sangram
6328,Abodh
6348,Anand Aur Anand
6356,Asha Jyoti
6381,Awaaz
6398,Bhavna
6416,Bhemaa
6417,Bindiya Chamkegi
6423,Boxer
6424,Duniya
6438,Ek Nai Paheli
6440,Gangvaa
6449,Haisiyat
6453,Hanste Khelte
6455,Hip Hip Hurray
6457,Holi
6464,Inquilaab
6472,Jaag Utha Insan
6489,Jagir
6490,Jawaani
6491,John Jani Janardhan
6493,Kamla
6496,Kasam Paida Karne Wale Ki
6506,Khandhar
6511,Lakhon Ki Baat
6515,Lorie
6520,Maqsad
6531,Mashaal
6567,Maya Bazaar
6601,Meri Adalat
6605,Paar
6612,Preet Na Jane Reet
6682,Purana Mandir
6728,Pyasa Shaitan
6730,Qaidi
6736,Raaj Tilak
6737,Rakta Bandhan
6741,Saaransh
6783,Shapath
6786,Sharaabi
6793,Sohni Mahiwal
6801,Sunny
6812,Tarkeeb
6815,Teri Bahon Mein
6823,Tohfa
6840,Utsav
6841,Wanted: Dead or Alive
6845,Yeh Desh
6851,Zakhmi Sher
6863,Aaj Ka Dada
6873,Aandhi-Toofan
6876,Aar Paar (1985 film)
6877,Adventures of Tarzan
6889,Aitbaar
6900,Alag Alag
6931,Ameer Aadmi Gharib Aadmi
6932,Arjun
6966,Awara Baap
7022,Baadal
7023,Babu
7034,Bhago Bhut Aaya
7049,Bond 303
7050,Damul
7053,Dekha Pyar Tumhara
7057,Ek Se Bhale Do
7064,Faasle
7068,Geraftaar
7174,Ghar Dwaar
7175,Ghulami
7204,Haqeeqat
7212,Hoshiyar
7221,Hum Dono
7223,Hum Naujawan
7228,Jhoothi
7231,Karm Yudh
7232,Khamosh
7256,Lava
7257,Maa Kasam
7258,Mard
7329,Masterji
7341,Mera Saathi
7346,Meri Jung
7418,Mirch Masala
7468,Mohabbat
7473,Nasoor
7484,Pataal Bhairavi
7489,Pyari Behna
7490,Ram Teri Ganga Maili
7501,Rehguzar
7512,Saagar
7517,Sarfarosh
7520,Teri Meherbaniyan
7541,Uttarayan
7549,Zabardast
7558,Aag Aur Shola
7574,Aap Ke Saath
7581,Aisa Pyaar Kahan
7598,Angaaray
7615,Asli Naqli
7622,Avinash
7623,Baat Ban Jaye
7626,Bhagwaan Dada
7706,Chameli Ki Shaadi
7740,Dahleez
7747,Dharm Adhikari
7771,Dilwaala
7772,Dosti Dushmani
7790,Aag Hi Aag
7805,Andha Yudh
7811,Apne Apne
7824,Aulad
7835,Awam (film)
7848,Dak Bangla
7899,Daku Hasina
7905,Deewana Tere Naam Ka
7906,Himmat Aur Mehanat
7910,Hiraasat
7911,Hukumat
7924,Ijaazat
7959,Imaandaar
7969,Inaam Dus Hazaar
7998,Insaf Ki Pukar
8007,Jaan Hatheli Pe
8020,Jalwa
8030,Jhanjhaar
8037,Kamagni
8038,Kaash
8051,Kalyug Aur Ramayan
8056,Khudgarz
8085,Madadgaar
8092,Majaal
8098,Marte Dam Tak
8103,Mohre
8109,Mr. India
8144,Naam O Nishan
8157,Nazrana
8185,Param Dharam
8186,Parivaar
8187,Pyaar Ki Jeet
8204,Satyamev Jayate
8211,Sindoor
8287,Sutradhar
8296,Uttar Dakshin
8309,Watan Ke Rakhwale
8310,Biwi Ho To Aisi
8313,Kabzaa
8334,Kanoon Apna Apna
8345,Qayamat Se Qayamat Tak
8385,Ram-Avtar
8393,Salaam Bombay!
8420,Tezaab
8464,Zakhmi Aurat
8465,Aakhri Adaalat
8472,Agnee
8473,Bees Saal Baad
8485,Charnon Ki Saugandh
8486,Commando
8490,Daisy
8504,Dayavan
8517,Ek Naya Rishta
8522,Gangaa Jamunaa Saraswathi
8540,Gharwali Baharwali
8555,Hum Farishte Nahin
8556,Insaaf Ki Jung
8557,Jeete Hain Shaan Se
8564,Kanwarlal
8574,Maalamaal
8579,Main Zinda Hoon
8584,Mar Mitenge
8585,Mulzim
8594,Paap Ko Jalaa Kar Raakh Kar Doonga
