Charc,Movie,NewChar
",Joshua Josh Barnett,Joshua Josh Beckett,Joshua Josh Culbreath,Joshua Josh Gibson,Joshua Josh Law,Joshua Josh Howard,Joshua Josh McDaniels,Joshua Josh Tordjman,Joshua Josh Wagenaar,Joshua Josh Smith,Joshua Josh Duhamel,Josh Walker,Joshua Josh Gad,Joshua Josh Hutcherson,Joshua Josh Mostel,Joshua Josh Whitesell,Joshua Josh Peck,Joshua Josh Groban,Joshua Josh Hartnett",Josh,"['Joshua Josh Barnett', 'Joshua Josh Beckett', 'Joshua Josh Culbreath', 'Joshua Josh Gibson', 'Joshua Josh Law', 'Joshua Josh Howard', 'Joshua Josh McDaniels', 'Joshua Josh Tordjman', 'Joshua Josh Wagenaar', 'Joshua Josh Smith', 'Joshua Josh Duhamel', 'Josh Walker', 'Joshua Josh Gad', 'Joshua Josh Hutcherson', 'Joshua Josh Mostel', 'Joshua Josh Whitesell', 'Joshua Josh Peck', 'Joshua Josh Groban', 'Joshua Josh Hartnett']"
",Farooq Shaikh,Ravi Baswani,K. J. Yesudas,Saeed Jaffrey,Sai Paranjpye,David Dhawan",Chashme Buddoor,"['Farooq Shaikh', 'Ravi Baswani', 'K. J. Yesudas', 'Saeed Jaffrey', 'Sai Paranjpye', 'David Dhawan']"
",Ashok Kumar,Zeenat Aman",Chor Ke Ghar Chor,"['Ashok Kumar', 'Zeenat Aman']"
",Shatrughan Sinha,Rehana Sultan,David Dhawan",Chetna,"['Shatrughan Sinha', 'Rehana Sultan', 'David Dhawan']"
",Santokh Singh,Sharat Saxena",Bumboo,"['Santokh Singh', 'Sharat Saxena']"
",Preeti Jhangiani,Akshay Kumar,Rahul Dev,Aftab Shivdasani,Paresh Rawal,Sunil Shetty,Johnny Lever",Awara Paagal Deewana,"['Preeti Jhangiani', 'Akshay Kumar', 'Rahul Dev', 'Aftab Shivdasani', 'Paresh Rawal', 'Sunil Shetty', 'Johnny Lever']"
",Sanjay Dutt,Kabir Bedi,Sohail Khan,Dalip Tahil,Rajpal Yadav,Aashif Sheikh",Maine Dil Tujhko Diya,"['Sanjay Dutt', 'Kabir Bedi', 'Sohail Khan', 'Dalip Tahil', 'Rajpal Yadav', 'Aashif Sheikh']"
",Juhi Chawla,Prem Chopra,Mithun Chakraborty",Mere Sajana Saath Nibhana,"['Juhi Chawla', 'Prem Chopra', 'Mithun Chakraborty']"
",Madan Puri,Deven Varma,Ashok Kumar,Keshto Mukherjee,Pinchoo Kapoor,Rehana Sultan",Bada Kabutar,"['Madan Puri', 'Deven Varma', 'Ashok Kumar', 'Keshto Mukherjee', 'Pinchoo Kapoor', 'Rehana Sultan']"
",Akshay Kumar,Lara Dutta,Kay Kay Menon,Kunal Kapoor,Vivek Oberoi,Kareena Kapoor,Prabhu Deva",Singh Is Bliing,"['Akshay Kumar', 'Lara Dutta', 'Kay Kay Menon', 'Kunal Kapoor', 'Vivek Oberoi', 'Kareena Kapoor', 'Prabhu Deva']"
",Ranbir Kapoor,Rishi Kapoor,Neetu Kapoor,Javed Jaffrey,Salman Khan",Besharam,"['Ranbir Kapoor', 'Rishi Kapoor', 'Neetu Kapoor', 'Javed Jaffrey', 'Salman Khan']"
",Shakti Kapoor,Karisma Kapoor,Kadar Khan,Aruna Irani,Prem Chopra,David Dhawan,Gulshan Grover,K. Bhagyaraj",Raja Babu,"['Shakti Kapoor', 'Karisma Kapoor', 'Kadar Khan', 'Aruna Irani', 'Prem Chopra', 'David Dhawan', 'Gulshan Grover', 'K. Bhagyaraj']"
",Reema Sen,Sonu Nigam,Fardeen Khan,Kumar Sanu,Sunidhi Chauhan,Alka Yagnik,Udit Narayan,Agathiyan",Hum Ho Gaye Aapke,"['Reema Sen', 'Sonu Nigam', 'Fardeen Khan', 'Kumar Sanu', 'Sunidhi Chauhan', 'Alka Yagnik', 'Udit Narayan', 'Agathiyan']"
",Prince Salim,Emperor Akbar,Dilip Kumar,Bade Ghulam Ali Khan,Madhubala,Prithviraj Kapoor,Karimuddin Asif,Mohammed Rafi,Kamaal Amrohi,Lata Mangeshkar",Mughal-e-Azam,"['Prince Salim', 'Emperor Akbar', 'Dilip Kumar', 'Bade Ghulam Ali Khan', 'Madhubala', 'Prithviraj Kapoor', 'Karimuddin Asif', 'Mohammed Rafi', 'Kamaal Amrohi', 'Lata Mangeshkar']"
",Nana Patekar,Prakash Jha,Mohan Agashe,Yashpal Sharma",Apaharan,"['Nana Patekar', 'Prakash Jha', 'Mohan Agashe', 'Yashpal Sharma']"
",King David,King Saul,David · Solomon,Jehu,King Josiah,Michal",David,"['King David', 'King Saul', 'David\xa0· Solomon', 'Jehu', 'King Josiah', 'Michal']"
",Om Shivpuri,Rekha",Ek Naya Rishta,"['Om Shivpuri', 'Rekha']"
",Sonali Bendre,Saif Ali Khan,Sunil Shetty,Gayatri Devi,Deepti Bhatnagar,Raza Murad,Deepak Anand,Mukesh Rishi",Humse Badhkar Kaun,"['Sonali Bendre', 'Saif Ali Khan', 'Sunil Shetty', 'Gayatri Devi', 'Deepti Bhatnagar', 'Raza Murad', 'Deepak Anand', 'Mukesh Rishi']"
",Saif Ali Khan,Ashok,Ram Kapoor,Bipasha Basu,Satish Shah,Darshan Jariwala,Chunkey Pandey,Vashu Bhagnani,Y. M. Raj,Neeraj Shridhar,Himesh Reshammiya",Humshakal,"['Saif Ali Khan', 'Ashok', 'Ram Kapoor', 'Bipasha Basu', 'Satish Shah', 'Darshan Jariwala', 'Chunkey Pandey', 'Vashu Bhagnani', 'Y. M. Raj', 'Neeraj Shridhar', 'Himesh Reshammiya']"
",Amitabh Bachchan,Jeetendra,Ravikant Nagaich,Sivaji Ganesan,Farida Jalal",Pyar Ki Kahani,"['Amitabh Bachchan', 'Jeetendra', 'Ravikant Nagaich', 'Sivaji Ganesan', 'Farida Jalal']"
",Maj. Vikram Singh,Rajiv Gandhi,Shantanu Moitra,Velupillai Prabhakaran",Madras Cafe,"['Maj. Vikram Singh', 'Rajiv Gandhi', 'Shantanu Moitra', 'Velupillai Prabhakaran']"
",Rajesh Khanna,Ramanand Sagar,Lalita Pawar,Anand Bakshi,Moushumi Chatterjee,Keshto Mukherjee,A. K. Hangal,Rekha",Prem Bandhan,"['Rajesh Khanna', 'Ramanand Sagar', 'Lalita Pawar', 'Anand Bakshi', 'Moushumi Chatterjee', 'Keshto Mukherjee', 'A. K. Hangal', 'Rekha']"
",Kishore Kumar,Rajesh Khanna,Lata Mangeshkar,Prem Chopra,Hema Malini,Shakti Samanta,Manna Dey",Mehbooba,"['Kishore Kumar', 'Rajesh Khanna', 'Lata Mangeshkar', 'Prem Chopra', 'Hema Malini', 'Shakti Samanta', 'Manna Dey']"
",Ang Lee",Suraj,['Ang Lee']
",Hema Malini,Moushumi Chatterjee,Debashree Roy,Sridevi,Bappi Lahiri,Kader Khan,Shakti Kapoor,Arun Govil",Justice Chaudhury,"['Hema Malini', 'Moushumi Chatterjee', 'Debashree Roy', 'Sridevi', 'Bappi Lahiri', 'Kader Khan', 'Shakti Kapoor', 'Arun Govil']"
",Rakesh Roshan,Neetu Singh,Rajesh Roshan,Basu Chatterjee,Utpal Dutt,I.S. Johar",Priyatama,"['Rakesh Roshan', 'Neetu Singh', 'Rajesh Roshan', 'Basu Chatterjee', 'Utpal Dutt', 'I.S. Johar']"
",Girish Karnad,Suhasini Mulay",Aparoopa,"['Girish Karnad', 'Suhasini Mulay']"
",Shahrukh Khan,Preity Zinta,Rani Mukerji,Anu Malik,Prem Chopra,Ajay Sharma,Dalip Tahil",Chori Chori,"['Shahrukh Khan', 'Preity Zinta', 'Rani Mukerji', 'Anu Malik', 'Prem Chopra', 'Ajay Sharma', 'Dalip Tahil']"
